protocol, hwsrc, hwdst, ipsrc, ipdst, whois
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.49.130.40,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.42.4.203,
34525,ec:55:f9:89:67:3a,33:33:00:00:00:fb,,,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.49.130.40,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.42.4.203,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.49.130.40,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.42.4.203,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.49.130.40,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.42.4.203,
34525,8c:89:a5:db:87:9d,33:33:00:00:00:0c,,,
2048,8c:89:a5:db:87:9d,01:00:5e:7f:ff:fa,192.168.1.110,239.255.255.250,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.49.130.40,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.42.4.203,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.49.130.40,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.42.4.203,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.49.130.40,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.42.4.203,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.49.130.40,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.42.4.203,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.49.130.40,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.42.4.203,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.49.130.40,
2048,0c:84:dc:02:00:63,00:25:9c:51:c6:58,192.168.1.107,200.42.4.203,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
2048,00:00:00:00:00:00,00:00:00:00:00:00,127.0.0.1,127.0.1.1,
