protocol, hwsrc, hwdst, ipsrc, ipdst, whois
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.189,
2048,00:27:0e:0d:f3:29,01:00:5e:00:00:fb,10.2.3.3,224.0.0.251,
2054,70:14:a6:68:ff:c5,ff:ff:ff:ff:ff:ff,10.2.200.7,10.2.203.254,1
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.241,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.253,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,64.233.190.189,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
-1,00:9c:02:65:57:ec,01:80:c2:00:00:00,,,
2054,00:1b:21:7f:6c:fd,ff:ff:ff:ff:ff:ff,10.2.1.254,10.2.1.230,1
34525,e0:69:95:e4:c1:69,33:33:00:01:00:02,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,185.94.84.154,
34525,30:39:26:f6:f9:d9,33:33:00:00:00:02,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2054,30:75:12:65:da:ed,ff:ff:ff:ff:ff:ff,10.2.203.200,10.2.203.200,1
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,172.217.28.238,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,10.0.0.253,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,209.225.49.115,
34525,9c:d3:5b:6c:c3:8c,33:33:00:00:00:02,,,
-1,8c:64:22:e5:0b:36,ff:ff:ff:ff:ff:ff,,,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
2054,00:16:3e:d5:96:57,ff:ff:ff:ff:ff:ff,10.2.0.9,10.2.0.200,1
-1,00:9c:02:65:57:ec,01:80:c2:00:00:00,,,
2054,00:1b:21:7f:6c:fd,ff:ff:ff:ff:ff:ff,10.2.203.254,10.2.200.186,1
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
34525,8c:64:22:e5:0b:36,33:33:ff:e5:0b:36,,,
2048,e0:69:95:e4:c1:69,ff:ff:ff:ff:ff:ff,10.2.3.5,10.2.3.255,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
-1,8c:64:22:e5:0b:36,ff:ff:ff:ff:ff:ff,,,
2054,fc:aa:14:20:c8:8e,ff:ff:ff:ff:ff:ff,10.2.5.2,10.2.5.1,1
2048,14:1a:a3:3c:bd:7a,01:00:5e:00:00:fb,10.2.201.123,224.0.0.251,
2048,40:e2:30:87:9f:e9,ff:ff:ff:ff:ff:ff,10.2.202.147,10.2.203.255,
2048,d0:a6:37:e4:d2:50,ff:ff:ff:ff:ff:ff,10.2.201.36,10.2.203.255,
34525,18:67:b0:a7:05:73,33:33:00:00:00:16,,,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
2048,d0:a6:37:e4:d2:50,00:1b:21:7f:6c:fd,10.2.201.36,149.154.175.50,
