protocol, hwsrc, hwdst, ipsrc, ipdst, whois
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.104.73,172.17.104.73,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.73.94,172.17.73.94,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.27.49,172.17.27.49,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.74.152,172.17.74.152,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.26.47,172.17.26.47,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.104.116,172.17.104.116,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.63.99,172.17.63.99,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.64.160,172.17.64.160,1
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.64.9,172.17.64.9,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.60.202,172.17.60.202,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.115.29,172.17.115.29,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.64.160,172.17.64.160,1
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.65.229,172.17.65.229,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.9.242,172.17.9.242,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.103.170,172.17.103.170,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.79.154,172.17.79.154,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.0.211,172.17.0.211,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.80.30,172.17.80.30,2
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.58.82,172.17.58.82,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.92.38,172.17.92.38,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.121.235,172.17.121.235,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.70.9,172.17.70.9,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.74.10,172.17.74.10,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.52.155,172.17.52.155,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.7.208,172.17.7.208,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.91.135,172.17.91.135,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.17.100,172.17.17.100,2
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2048,6c:20:56:13:c6:10,0c:84:dc:02:00:63,31.13.85.36,172.17.97.118,
2048,0c:84:dc:02:00:63,6c:20:56:13:c6:10,172.17.97.118,31.13.85.36,
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.40.99,172.17.40.99,2
2054,a4:93:4c:fb:6f:c0,ff:ff:ff:ff:ff:ff,172.17.124.190,172.17.124.190,2
